ID,lsoa01cd,lsoa01nm,mh_crude_tot,mh_tot
1,E01000001,City of London 001A,167,-1.124526463
2,E01000002,City of London 001B,155,-1.189987444
3,E01000003,City of London 001C,509,0.741111492
4,E01000004,City of London 001D,184,-1.031790073
5,E01000005,City of London 001E,342,-0.169887158
6,E01000006,Barking and Dagenham 016A,170,-1.108161218
7,E01000007,Barking and Dagenham 015A,298,-0.409910755
8,E01000008,Barking and Dagenham 015B,234,-0.759035986
9,E01000009,Barking and Dagenham 016B,330,-0.235348139
10,E01000010,Barking and Dagenham 015C,212,-0.879047785
11,E01000011,Barking and Dagenham 016C,230,-0.780856313
12,E01000012,Barking and Dagenham 015D,265,-0.589928452
13,E01000013,Barking and Dagenham 013A,431,0.315615116
14,E01000014,Barking and Dagenham 013B,394,0.113777092
15,E01000015,Barking and Dagenham 009A,312,-0.333539611
16,E01000016,Barking and Dagenham 009B,366,-0.038965197
17,E01000017,Barking and Dagenham 009C,402,0.157417746
18,E01000018,Barking and Dagenham 009D,359,-0.077150769
19,E01000019,Barking and Dagenham 005A,365,-0.044420278
20,E01000020,Barking and Dagenham 005B,853,2.61765961
21,E01000021,Barking and Dagenham 008A,364,-0.04987536
22,E01000022,Barking and Dagenham 008B,349,-0.131701586
23,E01000023,Barking and Dagenham 008C,381,0.042861029
24,E01000024,Barking and Dagenham 008D,367,-0.033510115
25,E01000025,Barking and Dagenham 008E,378,0.026495784
26,E01000026,Barking and Dagenham 005C,304,-0.377180265
27,E01000027,Barking and Dagenham 001A,487,0.621099694
28,E01000028,Barking and Dagenham 001B,809,2.377636014
29,E01000029,Barking and Dagenham 001C,356,-0.093516014
30,E01000030,Barking and Dagenham 001D,385,0.064681356
31,E01000031,Barking and Dagenham 002A,276,-0.529922553
32,E01000032,Barking and Dagenham 002B,300,-0.399000591
33,E01000033,Barking and Dagenham 006A,398,0.135597419
34,E01000034,Barking and Dagenham 003A,1165,4.319645113
35,E01000035,Barking and Dagenham 010A,673,1.635744897
36,E01000036,Barking and Dagenham 010B,218,-0.846317294
37,E01000037,Barking and Dagenham 003B,254,-0.649934351
38,E01000038,Barking and Dagenham 003C,359,-0.077150769
39,E01000039,Barking and Dagenham 003D,265,-0.589928452
40,E01000040,Barking and Dagenham 019A,418,0.244699054
41,E01000041,Barking and Dagenham 017A,241,-0.720850414
42,E01000042,Barking and Dagenham 017B,423,0.271974462
43,E01000043,Barking and Dagenham 019B,356,-0.093516014
44,E01000044,Barking and Dagenham 016D,235,-0.753580905
45,E01000045,Barking and Dagenham 017C,312,-0.333539611
46,E01000046,Barking and Dagenham 017D,242,-0.715395332
47,E01000047,Barking and Dagenham 021A,281,-0.502647145
48,E01000048,Barking and Dagenham 021B,316,-0.311719284
49,E01000049,Barking and Dagenham 021C,311,-0.338994692
50,E01000050,Barking and Dagenham 019C,437,0.348345607
51,E01000051,Barking and Dagenham 021D,258,-0.628114025
52,E01000052,Barking and Dagenham 019D,317,-0.306264202
53,E01000053,Barking and Dagenham 020A,563,1.035685906
54,E01000054,Barking and Dagenham 018A,265,-0.589928452
55,E01000055,Barking and Dagenham 018B,263,-0.600838616
56,E01000056,Barking and Dagenham 018C,637,1.439361955
57,E01000057,Barking and Dagenham 012A,318,-0.30080912
58,E01000058,Barking and Dagenham 018D,272,-0.55174288
59,E01000059,Barking and Dagenham 013C,376,0.015585621
60,E01000060,Barking and Dagenham 006B,464,0.495632814
61,E01000061,Barking and Dagenham 006C,490,0.637464939
62,E01000062,Barking and Dagenham 006D,360,-0.071695687
63,E01000063,Barking and Dagenham 004A,364,-0.04987536
64,E01000064,Barking and Dagenham 006E,786,2.252169134
65,E01000065,Barking and Dagenham 007A,843,2.563108793
66,E01000066,Barking and Dagenham 011A,287,-0.469916654
67,E01000067,Barking and Dagenham 011B,224,-0.813586804
68,E01000068,Barking and Dagenham 016E,217,-0.851772376
69,E01000069,Barking and Dagenham 011C,195,-0.971784174
